Timestamp,RodPump.FluidLoad,RodPump.PumpFillage,RodPump.PumpingSpeed,RodPump.RodLoading
'02/01/2023 20:47:00,11039.00078125,69.65830095992165,7.540209932463586,47.20824955723138
'02/01/2023 20:47:07,12201.888671875,81.69652650670032,7.949477572731114,53.69260225500413
'02/01/2023 20:47:14,10624.831640625001,48.493336751782415,8.050457254388657,47.23331593996572
'02/01/2023 20:47:21,9644.882421875001,9.209038892553412,7.525715202185699,40.83538715488006
'02/01/2023 20:47:28,9100.047265625002,19.725396177240594,7.546801025061896,38.78964628300627
'02/01/2023 20:47:35,9575.28046875,18.446365155864914,7.54748730731812,41.09493686425465
'02/01/2023 20:47:42,9575.28046875,18.446365155864914,7.54748730731812,41.09493686425465
'02/01/2023 20:47:49,9422.897070312501,16.155762668957426,7.548686311353441,40.26796775740912
'02/01/2023 20:47:56,9616.24296875,24.993090469635685,7.5458587350100705,39.95367885155052
'02/01/2023 20:48:03,11170.796484375001,64.90723447638408,7.485963323816839,47.39338414950475
'02/01/2023 20:48:10,11427.901171875,77.37940102081926,8.008850067412622,50.410096632694525
'02/01/2023 20:48:17,10749.864453125,72.14982299550887,7.9876794354606995,49.23167104443837
'02/01/2023 20:48:24,10370.042578125001,49.44951443407239,8.048313038846137,45.85282988400352
'02/01/2023 20:48:31,10050.373046875,42.64062592306016,7.520505551106975,44.00078041708932
'02/01/2023 20:48:38,10121.269921875002,51.41086588553141,7.5439748606535595,44.96361772661284
'02/01/2023 20:48:45,10121.269921875002,51.41086588553141,7.5439748606535595,44.96361772661284
'02/01/2023 20:48:52,10805,64.8508619771467,7.4869651398285,46.23078372927863
'02/01/2023 20:48:59,11272.938671875,74.3596256746466,8.00672795557706,48.857582727346276
'02/01/2023 20:49:06,10692.556250000001,53.599506223617624,7.990411208531848,48.72251866321859
'02/01/2023 20:49:13,9790.0078125,21.509652566333436,7.624877947097609,43.695896280899134
'02/01/2023 20:49:20,9199.994531250002,13.016457086760171,7.548686311353441,39.69681895902474
'02/01/2023 20:49:27,9370.171875,16.929587855529647,7.547487305332474,39.89786436821423
'02/01/2023 20:49:34,9275.525976562501,15.946074839125886,7.493442700769371,39.598165861879735
'02/01/2023 20:49:41,9282.545703125,17.364924902782576,7.546801025061896,39.107118180817636
'02/01/2023 20:49:48,9469.990234375,39.050479340494036,7.5439748606535595,41.76740426890388
'02/01/2023 20:49:56,9469.990234375,39.050479340494036,7.5439748606535595,41.76740426890388
'02/01/2023 20:50:02,11383.708203125,78.7161559333064,7.484717176494516,48.544309810552306
'02/01/2023 20:50:09,11248.962109375,88.64211324305595,8.002487103905676,50.39073151342042
'02/01/2023 20:50:16,10094.617578125002,41.750861110334675,7.993959675433962,47.61263994759402
'02/01/2023 20:50:23,9001.738867187501,3.437555627296987,7.58944902784072,39.486610903971574
'02/01/2023 20:50:30,8801.72578125,16.173411995982267,7.546801025061896,37.72263168436518
'02/01/2023 20:50:37,9166.439453125,18.734639563248866,7.493132243222283,39.76439234483868
'02/01/2023 20:50:44,9173.0388671875,16.43976696038207,7.547743550480287,39.4625505104154
'02/01/2023 20:50:51,9116.4138671875,21.573099621540575,7.546801025061896,38.97254136407005
