Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-12-16,08:07:01,2019-12-16,00:07:01,122.1435345976604
2019-12-16,08:07:02,2019-12-16,00:07:02,122.35093750071228
2019-12-16,08:07:03,2019-12-16,00:07:03,122.32192818263208
2019-12-16,08:07:04,2019-12-16,00:07:04,122.35528402960377
2019-12-16,08:07:05,2019-12-16,00:07:05,122.3103226849198
2019-12-16,08:07:06,2019-12-16,00:07:06,122.26101481134435
2019-12-16,08:07:07,2019-12-16,00:07:07,122.08987134279248
2019-12-16,08:07:08,2019-12-16,00:07:08,122.05505484965563
2019-12-16,08:07:09,2019-12-16,00:07:09,121.95933383763207
2019-12-16,08:07:10,2019-12-16,00:07:10,121.91437249294812
2019-12-16,08:07:11,2019-12-16,00:07:11,121.84040183018396
2019-12-16,08:07:12,2019-12-16,00:07:12,121.77513307760375
2019-12-16,08:07:13,2019-12-16,00:07:13,121.72871993915564
2019-12-16,08:07:14,2019-12-16,00:07:14,121.70551779613209
2019-12-16,08:07:15,2019-12-16,00:07:15,121.62720060447644
2019-12-16,08:07:16,2019-12-16,00:07:16,121.60978793170752
2019-12-16,08:07:17,2019-12-16,00:07:17,121.56048005813209
2019-12-16,08:07:18,2019-12-16,00:07:18,121.66055645144812
2019-12-16,08:07:19,2019-12-16,00:07:19,121.59528769886792
2019-12-16,08:07:20,2019-12-16,00:07:20,121.64604736620753
2019-12-16,08:07:21,2019-12-16,00:07:21,121.614143313
2019-12-16,08:07:22,2019-12-16,00:07:22,121.59383590510376
2019-12-16,08:07:23,2019-12-16,00:07:23,121.58948937621228
2019-12-16,08:07:24,2019-12-16,00:07:24,121.59819128639624
2019-12-16,08:07:25,2019-12-16,00:07:25,121.59094116997645
2019-12-16,08:07:26,2019-12-16,00:07:26,121.64604736620753
2019-12-16,08:07:27,2019-12-16,00:07:27,121.65910465768395
2019-12-16,08:07:28,2019-12-16,00:07:28,121.68230680070752
2019-12-16,08:07:29,2019-12-16,00:07:29,121.70696958989625
2019-12-16,08:07:30,2019-12-16,00:07:30,121.75047914081604
2019-12-16,08:07:31,2019-12-16,00:07:31,121.74612375952356
2019-12-16,08:07:32,2019-12-16,00:07:32,121.77078654871228
2019-12-16,08:07:33,2019-12-16,00:07:33,121.81429609963207
2019-12-16,08:07:34,2019-12-16,00:07:34,121.9114689054198
2019-12-16,08:07:35,2019-12-16,00:07:35,122.1290255124198
2019-12-16,08:07:36,2019-12-16,00:07:36,122.61055186486792
2019-12-16,08:07:37,2019-12-16,00:07:37,123.25017324679249
2019-12-16,08:07:38,2019-12-16,00:07:38,124.04788080579247
2019-12-16,08:07:39,2019-12-16,00:07:39,124.76291579184436
2019-12-16,08:07:40,2019-12-16,00:07:40,125.56351808597168
2019-12-16,08:07:41,2019-12-16,00:07:41,125.99863129997168
2019-12-16,08:07:42,2019-12-16,00:07:42,126.39459034434437
2019-12-16,08:07:43,2019-12-16,00:07:43,126.76733839329248
2019-12-16,08:07:44,2019-12-16,00:07:44,127.01534725973583
2019-12-16,08:07:45,2019-12-16,00:07:45,127.27641341765563
2019-12-16,08:07:46,2019-12-16,00:07:46,127.44900867997168
2019-12-16,08:07:47,2019-12-16,00:07:47,127.52297934273584
2019-12-16,08:07:48,2019-12-16,00:07:48,127.66801708073584
2019-12-16,08:07:49,2019-12-16,00:07:49,127.54328675063208
2019-12-16,08:07:50,2019-12-16,00:07:50,127.52152754897168
2019-12-16,08:07:51,2019-12-16,00:07:51,127.30107620684436
2019-12-16,08:07:52,2019-12-16,00:07:52,127.1690869079198
2019-12-16,08:07:53,2019-12-16,00:07:53,126.7992424465
2019-12-16,08:07:54,2019-12-16,00:07:54,126.63680088813209
2019-12-16,08:07:55,2019-12-16,00:07:55,126.32207147534436
2019-12-16,08:07:56,2019-12-16,00:07:56,126.1248134238396
