#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,wellname
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:23Z,10.399,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:33Z,10.405,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:44Z,10.397,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:54Z,10.405,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:04Z,10.402,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:15Z,10.411,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:25Z,10.414,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:36Z,10.417,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:46Z,10.41,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:39:57Z,10.414,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:07Z,10.408,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:17Z,10.415,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:28Z,10.419,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:38Z,10.422,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:49Z,10.424,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:40:59Z,10.416,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:41:09Z,10.419,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:41:20Z,10.425,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:41:30Z,10.42,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:41:41Z,10.425,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:41:51Z,10.417,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:01Z,10.424,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:12Z,10.427,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:22Z,10.427,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:33Z,10.421,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:43Z,10.423,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:42:53Z,10.416,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:04Z,10.413,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:14Z,10.416,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:25Z,10.413,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:35Z,10.424,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:46Z,10.42,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:43:56Z,10.421,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:06Z,10.431,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:17Z,10.445,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:27Z,10.448,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:38Z,10.455,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:48Z,10.46,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:44:59Z,10.463,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:45:09Z,10.461,Stroke Period,sensors,9
