Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2020-03-25,20:20:02,2020-03-25,13:20:02,156.18533641810376
2020-03-25,20:20:03,2020-03-25,13:20:03,156.01129821442456
2020-03-25,20:20:04,2020-03-25,13:20:04,155.9300685828396
2020-03-25,20:20:05,2020-03-25,13:20:05,155.73136758997168
2020-03-25,20:20:06,2020-03-25,13:20:06,155.7748859932925
2020-03-25,20:20:07,2020-03-25,13:20:07,155.73136758997168
2020-03-25,20:20:08,2020-03-25,13:20:08,155.55442579876416
2020-03-25,20:20:09,2020-03-25,13:20:09,155.37022503873584
2020-03-25,20:20:10,2020-03-25,13:20:10,155.2730433805471
2020-03-25,20:20:11,2020-03-25,13:20:11,155.24694650239624
2020-03-25,20:20:12,2020-03-25,13:20:12,155.2019763053113
2020-03-25,20:20:13,2020-03-25,13:20:13,155.05693856731128
2020-03-25,20:20:14,2020-03-25,13:20:14,154.9829679045471
2020-03-25,20:20:15,2020-03-25,13:20:15,154.9177080043679
2020-03-25,20:20:16,2020-03-25,13:20:16,154.8422855478396
2020-03-25,20:20:17,2020-03-25,13:20:17,154.78281511791505
2020-03-25,20:20:18,2020-03-25,13:20:18,154.7813810289529
2020-03-25,20:20:19,2020-03-25,13:20:19,154.6726027254529
2020-03-25,20:20:20,2020-03-25,13:20:20,154.56816209844337
2020-03-25,20:20:21,2020-03-25,13:20:21,154.41588309642455
2020-03-25,20:20:22,2020-03-25,13:20:22,154.4477871496321
2020-03-25,20:20:23,2020-03-25,13:20:23,154.3564126665
2020-03-25,20:20:24,2020-03-25,13:20:24,154.24618256923583
2020-03-25,20:20:25,2020-03-25,13:20:25,154.0953376561792
2020-03-25,20:20:26,2020-03-25,13:20:26,154.05038516389624
2020-03-25,20:20:27,2020-03-25,13:20:27,153.91694407120752
2020-03-25,20:20:28,2020-03-25,13:20:28,153.92420304002832
2020-03-25,20:20:29,2020-03-25,13:20:29,153.80816576770752
2020-03-25,20:20:30,2020-03-25,13:20:30,153.72840563468873
2020-03-25,20:20:31,2020-03-25,13:20:31,153.59641633576416
2020-03-25,20:20:32,2020-03-25,13:20:32,153.4818308572075
2020-03-25,20:20:33,2020-03-25,13:20:33,153.48037906344337
2020-03-25,20:20:34,2020-03-25,13:20:34,153.37160075994336
2020-03-25,20:20:35,2020-03-25,13:20:35,153.32374468013208
2020-03-25,20:20:36,2020-03-25,13:20:36,153.2106109953396
2020-03-25,20:20:37,2020-03-25,13:20:37,153.03076561660376
2020-03-25,20:20:38,2020-03-25,13:20:38,153.0365727916604
2020-03-25,20:20:39,2020-03-25,13:20:39,152.93358395841503
2020-03-25,20:20:40,2020-03-25,13:20:40,152.85963100045288
2020-03-25,20:20:41,2020-03-25,13:20:41,152.73778655307544
2020-03-25,20:20:42,2020-03-25,13:20:42,152.58405575729248
2020-03-25,20:20:43,2020-03-25,13:20:43,152.57679678847168
2020-03-25,20:20:44,2020-03-25,13:20:44,152.4854223053396
2020-03-25,20:20:45,2020-03-25,13:20:45,152.40711396608495
2020-03-25,20:20:46,2020-03-25,13:20:46,152.31283589542457
2020-03-25,20:20:47,2020-03-25,13:20:47,152.23305805760376
2020-03-25,20:20:48,2020-03-25,13:20:48,152.1184725790471
2020-03-25,20:20:49,2020-03-25,13:20:49,152.0285498896792
2020-03-25,20:20:50,2020-03-25,13:20:50,151.9313859362925
2020-03-25,20:20:51,2020-03-25,13:20:51,151.91107852839625
2020-03-25,20:20:52,2020-03-25,13:20:52,151.83130069057543
2020-03-25,20:20:53,2020-03-25,13:20:53,151.75587823404712
2020-03-25,20:20:54,2020-03-25,13:20:54,151.63405149147167
2020-03-25,20:20:55,2020-03-25,13:20:55,151.63259969770752
2020-03-25,20:20:56,2020-03-25,13:20:56,151.51658013018871
2020-03-25,20:20:57,2020-03-25,13:20:57,151.42520564705663
2020-03-25,20:20:58,2020-03-25,13:20:58,151.3976392703396
2020-03-25,20:20:59,2020-03-25,13:20:59,151.2424566807925
2020-03-25,20:21:00,2020-03-25,13:21:00,151.28307149658497
2020-03-25,20:21:01,2020-03-25,13:21:01,151.26276408868873
2020-03-25,20:21:02,2020-03-25,13:21:02,151.12787120223584
2020-03-25,20:21:03,2020-03-25,13:21:03,150.9581706750471
2020-03-25,20:21:04,2020-03-25,13:21:04,150.97557449541503
2020-03-25,20:21:05,2020-03-25,13:21:05,150.9407668546792
2020-03-25,20:21:06,2020-03-25,13:21:06,150.90886280147168
2020-03-25,20:21:07,2020-03-25,13:21:07,150.8029880855
2020-03-25,20:21:08,2020-03-25,13:21:08,150.73917997908495
2020-03-25,20:21:09,2020-03-25,13:21:09,150.69275798823583
2020-03-25,20:21:10,2020-03-25,13:21:10,150.59702812381127
2020-03-25,20:21:11,2020-03-25,13:21:11,150.6289498818208
2020-03-25,20:21:12,2020-03-25,13:21:12,150.52450925481128
2020-03-25,20:21:13,2020-03-25,13:21:13,150.3243564681792
2020-03-25,20:21:14,2020-03-25,13:21:14,150.31130802910377
2020-03-25,20:21:15,2020-03-25,13:21:15,150.25474118670752
2020-03-25,20:21:16,2020-03-25,13:21:16,150.16917387863208
2020-03-25,20:21:17,2020-03-25,13:21:17,150.18222231770753
2020-03-25,20:21:18,2020-03-25,13:21:18,150.02413614063207
2020-03-25,20:21:19,2020-03-25,13:21:19,149.87619481510376
2020-03-25,20:21:20,2020-03-25,13:21:20,149.81672438517919
2020-03-25,20:21:21,2020-03-25,13:21:21,149.81093491492456
